*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=TITAN routing board
*Date=19:01:49
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;17.5912;-2.4131;0;Bottom;Hole85
2;;;65.8512;-17.6531;0;Bottom;Hole126
3;;;45.5312;-37.9731;0;Bottom;Hole107
4;;;9.97124;-2.4131;0;Bottom;Hole90
5;;;95.5692;-21.2091;0;Bottom;Hole128
6;;;68.3912;-37.9731;0;Bottom;Hole120
7;;;79.0591;-30.3532;0;Bottom;Via24
8;;;93.0292;-23.7491;0;Bottom;Hole144
9;;;22.6712;-2.4131;0;Bottom;Hole83
10;;;72.4552;-50.6731;0;Bottom;Hole37
11;;;12.5112;-2.4131;0;Bottom;Hole88
12;;;93.0292;-31.3691;0;Bottom;Hole140
13;;;95.5692;-36.4491;0;Bottom;Hole62
14;;;4.89124;-12.5731;0;Bottom;Hole25
15;;;60.7712;-37.9731;0;Bottom;Hole114
16;;THT;18.8612;-2.4131;90;Bottom;J15
17;;;39.1811;-27.3052;0;Bottom;Via8
18;;;48.0712;-17.6531;0;Bottom;Hole76
19;;;75.8262;-2.06241;0;Bottom;TXT1
20;;;42.9912;-2.4131;0;Bottom;Hole97
21;;;73.4712;-17.6531;0;Bottom;Hole124
22;;;80.5831;-32.1312;0;Bottom;Via26
23;;;63.3112;-17.6531;0;Bottom;Hole116
24;;;35.3712;-2.4131;0;Bottom;Hole99
25;;;45.5312;-2.4131;0;Bottom;Hole98
26;;;7.43124;-22.7331;0;Bottom;Hole26
27;;;4.89124;-15.1131;0;Bottom;Hole21
28;;;37.9112;-2.4131;0;Bottom;Hole95
29;;;30.2912;-17.6531;0;Bottom;Hole91
30;;;53.1512;-37.9731;0;Bottom;Hole110
31;;;7.43124;-48.1331;0;Bottom;Hole5
32;;;95.5692;-31.3691;0;Bottom;Hole139
33;;;27.7512;-2.4131;0;Bottom;Hole81
34;;;7.43124;-32.8931;0;Bottom;Hole33
35;;;67.3752;-50.6731;0;Bottom;Hole38
36;;;63.3112;-37.9731;0;Bottom;Hole122
37;;;93.0292;-21.2091;0;Bottom;Hole129
38;;;95.5692;-16.1291;0;Bottom;Hole132
39;;;4.89124;-37.9731;0;Bottom;Hole2
40;;;95.5692;-18.6691;0;Bottom;Hole130
41;;;7.43124;-35.4331;0;Bottom;Hole11
42;;THT;49.3412;-50.6731;-90;Bottom;J12
43;;;88.7111;-16.1292;0;Bottom;Via18
44;;;20.1312;-37.9731;0;Bottom;Hole112
45;;;45.5312;-50.6731;0;Bottom;Hole47
46;;;4.89124;-27.8131;0;Bottom;Hole29
47;;;4.89124;-10.0331;0;Bottom;Hole23
48;;;50.6112;-17.6531;0;Bottom;Hole75
49;;;93.0292;-16.1291;0;Bottom;Hole133
50;;;95.5692;-41.5291;0;Bottom;Hole146
51;;;39.1811;-25.5272;0;Bottom;Via6
52;;;15.0512;-2.4131;0;Bottom;Hole87
53;;;7.43124;-37.9731;0;Bottom;Hole12
54;;;95.5692;-28.8291;0;Bottom;Hole141
55;;;50.6112;-50.6731;0;Bottom;Hole42
56;;;55.6912;-50.6731;0;Bottom;Hole39
57;;;40.4512;-2.4131;0;Bottom;Hole96
58;;;88.7111;-26.2892;0;Bottom;Via21
59;;;7.43124;-12.5731;0;Bottom;Hole22
60;;;25.2112;-37.9731;0;Bottom;Hole103
61;;;82.6151;-27.3052;0;Bottom;Via9
62;;;48.0712;-37.9731;0;Bottom;Hole108
63;;;68.3912;-17.6531;0;Bottom;Hole115
64;;;80.8371;-25.5272;0;Bottom;Via10
65;;;22.6712;-37.9731;0;Bottom;Hole102
66;;;7.43124;-30.3531;0;Bottom;Hole31
67;;;95.5692;-33.9091;0;Bottom;Hole136
68;;;33.8471;-27.3052;0;Bottom;Via13
69;;THT;94.2992;-27.5591;0;Bottom;J17
70;;;30.2912;-37.9731;0;Bottom;Hole104
71;;;42.9912;-50.6731;0;Bottom;Hole46
72;;;60.7712;-17.6531;0;Bottom;Hole117
73;;;53.1512;-50.6731;0;Bottom;Hole45
74;;;42.9912;-37.9731;0;Bottom;Hole106
75;;;29.3159;-11.2018;0;Bottom;TXT2
76;;;40.4512;-17.6531;0;Bottom;Hole79
77;;;40.9591;-45.5932;0;Bottom;Via30
78;;;7.43124;-17.6531;0;Bottom;Hole17
79;;;39.1811;-28.8292;0;Bottom;Via7
80;;;7.43124;-45.5931;0;Bottom;Hole6
81;;THT;46.8012;-17.6531;90;Bottom;J6
82;;;95.5692;-26.2891;0;Bottom;Hole143
83;;;27.7512;-37.9731;0;Bottom;Hole111
84;;;62.2952;-50.6731;0;Bottom;Hole44
85;;;70.9312;-17.6531;0;Bottom;Hole125
86;;;7.43124;-20.1931;0;Bottom;Hole18
87;;;33.8471;-25.5272;0;Bottom;Via14
88;;THT;46.8012;-37.9731;90;Bottom;J3
89;;;4.89124;-32.8931;0;Bottom;Hole13
90;;;7.43124;-27.8131;0;Bottom;Hole30
91;;;27.7512;-17.6531;0;Bottom;Hole92
92;;;93.0292;-13.5891;0;Bottom;Hole134
93;;;88.7111;-21.2092;0;Bottom;Via16
94;;;88.7111;-23.7492;0;Bottom;Via20
95;;;65.8512;-37.9731;0;Bottom;Hole121
96;;;4.89124;-40.5131;0;Bottom;Hole9
97;;;32.8312;-2.4131;0;Bottom;Hole100
98;;;7.43124;-15.1131;0;Bottom;Hole16
99;;;13.0191;-17.3992;0;Bottom;Via15
100;;;79.0591;-24.0032;0;Bottom;Via11
101;;;53.1512;-17.6531;0;Bottom;Hole80
102;;;33.8471;-28.8292;0;Bottom;Via2
103;;THT;6.16124;-13.8431;0;Bottom;J16
104;;;22.6712;-17.6531;0;Bottom;Hole94
105;;;39.1811;-24.0032;0;Bottom;Via5
106;;;42.9912;-17.6531;0;Bottom;Hole78
107;;;93.0292;-38.9891;0;Bottom;Hole148
108;;;88.7111;-13.5892;0;Bottom;Via19
109;;THT;26.4812;-37.9731;90;Bottom;J4
110;;THT;6.16124;-34.1631;0;Bottom;J9
111;;;7.43124;-25.2731;0;Bottom;Hole28
112;;;88.7111;-18.6692;0;Bottom;Via17
113;;;4.89124;-25.2731;0;Bottom;Hole3
114;;;48.0712;-50.6731;0;Bottom;Hole40
115;;;93.0292;-28.8291;0;Bottom;Hole142
116;;;4.89124;-45.5931;0;Bottom;Hole7
117;;THT;67.1212;-17.6531;90;Bottom;J8
118;;;4.89124;-35.4331;0;Bottom;Hole32
119;;;45.5312;-17.6531;0;Bottom;Hole77
120;;;70.9312;-37.9731;0;Bottom;Hole119
121;;;4.89124;-48.1331;0;Bottom;Hole4
122;;;95.5692;-13.5891;0;Bottom;Hole135
123;;;88.7111;-28.8292;0;Bottom;Via22
124;;;64.8352;-50.6731;0;Bottom;Hole43
125;;;48.0712;-2.4131;0;Bottom;Hole72
126;;;32.8312;-37.9731;0;Bottom;Hole113
127;;;84.3931;-28.8292;0;Bottom;Via1
128;;THT;26.4812;-17.6531;90;Bottom;J5
129;;;93.0292;-26.2891;0;Bottom;Hole145
130;;THT;66.1253;-50.6731;-90;Bottom;J13
131;;;4.89124;-30.3531;0;Bottom;Hole15
132;;;20.1312;-17.6531;0;Bottom;Hole101
133;;;82.6151;-33.6552;0;Bottom;Via25
134;;;4.89124;-20.1931;0;Bottom;Hole20
135;;;50.6112;-37.9731;0;Bottom;Hole109
136;;;40.9591;-47.6252;0;Bottom;Via29
137;;THT;41.7212;-2.4131;90;Bottom;J14
138;;;95.5692;-38.9891;0;Bottom;Hole149
139;;;88.7111;-31.3692;0;Bottom;Via23
140;;;7.43124;-43.0531;0;Bottom;Hole8
141;;;25.2112;-17.6531;0;Bottom;Hole93
142;;;4.89124;-22.7331;0;Bottom;Hole27
143;;;93.0292;-18.6691;0;Bottom;Hole131
144;;;4.89124;-17.6531;0;Bottom;Hole19
145;;;7.43124;-10.0331;0;Bottom;Hole24
146;;THT;67.1212;-37.9731;90;Bottom;J1
147;;;93.0292;-33.9091;0;Bottom;Hole138
148;;;4.89124;-43.0531;0;Bottom;Hole10
149;;;93.0292;-41.5291;0;Bottom;Hole147
150;;;59.7552;-50.6731;0;Bottom;Hole14
151;;;40.9591;-43.5612;0;Bottom;Via31
152;;;69.9152;-50.6731;0;Bottom;Hole41
153;;;20.1312;-2.4131;0;Bottom;Hole84
154;;;50.6112;-2.4131;0;Bottom;Hole71
155;;;40.4512;-37.9731;0;Bottom;Hole105
156;;;32.8312;-17.6531;0;Bottom;Hole89
157;;;25.2112;-2.4131;0;Bottom;Hole82
158;;;93.0292;-36.4491;0;Bottom;Hole137
159;;;95.5692;-23.7491;0;Bottom;Hole127
160;;;73.4712;-37.9731;0;Bottom;Hole118
161;;;7.43124;-40.5131;0;Bottom;Hole1
